City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,yuncheng,35.0231,110.9928,31.43,32,96,2.03,CN,1718323258
193,hobyo,5.3505,48.5268,25.56,85,28,9.93,SO,1718323259
194,hermanus,-34.4187,19.2345,14.29,68,10,2.2,ZA,1718323259
195,huicungo,-7.2833,-76.8,24.95,75,60,1.27,PE,1718323259
196,paducah,37.0834,-88.6001,30.33,42,0,0.0,US,1718323259
197,trikala,39.5553,21.7675,23.63,53,70,0.99,GR,1718323259
198,tolanaro,-25.0319,46.9987,20.04,94,40,2.06,MG,1718322974
199,loreto,22.2667,-101.9667,29.18,22,100,7.75,MX,1718323259
200,zverevo,48.0211,40.1228,20.77,84,13,3.09,RU,1718323259
201,tacuarembo,-31.7333,-55.9833,21.45,68,100,5.98,UY,1718322982
202,cape canaveral,28.4058,-80.6048,29.45,85,100,2.06,US,1718323165
203,sandnessjoen,66.0217,12.6316,10.29,78,8,3.51,NO,1718322983
204,michigan city,41.7075,-86.895,24.45,90,0,2.57,US,1718322984
205,fomboni,-12.28,43.7425,25.29,71,8,5.48,KM,1718323260
206,mitchell,43.7094,-98.0298,27.31,40,0,1.34,US,1718323260
207,taulaga,-11.0553,-171.0883,28.91,77,52,6.78,AS,1718323260
208,puerto del rosario,28.5004,-13.8627,20.86,64,100,7.2,ES,1718323260
209,mejit,10.2753,170.8646,28.23,73,100,6.99,MH,1718323260
210,kruisfontein,-34.0033,24.7314,11.98,57,6,2.49,ZA,1718323261
211,kone,-21.0595,164.8658,24.82,44,64,3.67,NC,1718323261
212,haiku-pauwela,20.9219,-156.3051,28.45,64,20,10.8,US,1718322994
213,la ronge,55.1001,-105.2842,16.14,63,75,4.12,CA,1718323008
214,waycross,31.2136,-82.354,31.13,58,40,4.63,US,1718323261
215,sona,45.4388,10.8255,16.75,84,0,1.54,IT,1718323261
216,tomatlan,19.9333,-105.25,30.07,58,44,3.9,MX,1718323261
217,belozersk,60.0326,37.7957,12.77,99,100,2.68,RU,1718323261
218,hadibu,12.65,54.0333,27.24,75,58,6.01,YE,1718323261
219,timimoun,29.2639,0.231,35.21,10,0,2.06,DZ,1718323006
220,polatli,39.5772,32.1413,23.38,46,29,0.82,TR,1718323262
221,attalla,34.0218,-86.0886,30.0,65,20,1.54,US,1718323262
222,flin flon,54.7682,-101.865,12.91,71,75,1.54,CA,1718322991
223,tajerouine,35.8917,8.5528,18.87,65,27,1.8,TN,1718323262
224,bodden town,19.2833,-81.25,29.44,91,40,5.66,KY,1718323085
225,challapata,-18.9,-66.7667,8.35,34,5,3.04,BO,1718323262
226,tokar,18.4254,37.729,30.39,43,3,1.99,SD,1718323204
227,west island,-12.1568,96.8225,26.99,89,100,4.12,CC,1718323263
228,chonchi,-42.6128,-73.8092,8.4,91,100,2.15,CL,1718322996
229,vila velha,-20.3297,-40.2925,22.97,83,40,4.12,BR,1718323035
230,worthington,40.0931,-83.018,29.97,52,1,0.89,US,1718323226
231,padang,-0.9492,100.3543,25.03,88,90,1.33,ID,1718323263
232,gantang,26.92,119.6333,25.49,95,100,0.31,CN,1718323263
233,san antonio de pale,-1.4014,5.6325,25.18,88,100,7.39,GQ,1718323263
234,peskovka,59.0448,52.3606,18.34,97,50,2.54,RU,1718323264
